Time (s),Vsub = -20V (counts),Vsub = -5V (counts)
1.46E-09,13,19
1.46E-09,10,21
1.46E-09,10,24
1.47E-09,9,22
1.47E-09,17,14
1.47E-09,16,13
1.47E-09,15,20
1.47E-09,14,16
1.47E-09,14,13
1.47E-09,9,16
1.47E-09,14,18
1.47E-09,13,19
1.47E-09,16,20
1.47E-09,16,24
1.47E-09,14,17
1.47E-09,5,22
1.48E-09,9,23
1.48E-09,13,23
1.48E-09,10,19
1.48E-09,10,15
1.48E-09,15,29
1.48E-09,12,21
1.48E-09,12,16
1.48E-09,9,20
1.48E-09,12,19
1.48E-09,6,14
1.48E-09,14,15
1.48E-09,16,19
1.49E-09,15,25
1.49E-09,12,13
1.49E-09,17,23
1.49E-09,11,27
1.49E-09,15,23
1.49E-09,10,17
1.49E-09,9,21
1.49E-09,12,26
1.49E-09,10,17
1.49E-09,13,29
1.49E-09,13,16
1.49E-09,10,14
1.50E-09,16,17
1.50E-09,12,15
1.50E-09,12,16
1.50E-09,10,29
1.50E-09,10,26
1.50E-09,9,13
1.50E-09,7,18
1.50E-09,10,25
1.50E-09,10,21
1.50E-09,16,22
1.50E-09,15,22
1.50E-09,15,16
1.50E-09,14,29
